UF,Tipo Crime,Ano,Mês,Ocorrências
Acre,Tentativa de homicídio,2019,fevereiro,7
Acre,Estupro,2019,março,24
Acre,Furto de veículo,2019,março,46
Acre,Homicídio doloso,2019,março,26
Acre,Lesão corporal seguida de morte,2019,março,0
Acre,Roubo de veículo,2019,março,80
Acre,Roubo seguido de morte (latrocínio),2019,março,1
Acre,Tentativa de homicídio,2019,março,7
Acre,Estupro,2019,abril,35
Acre,Furto de veículo,2019,abril,67
Acre,Homicídio doloso,2019,abril,21
Acre,Lesão corporal seguida de morte,2019,abril,0
Acre,Roubo a instituição financeira,2019,abril,0
Acre,Roubo de carga,2019,abril,2
Acre,Roubo de veículo,2019,abril,101
Acre,Roubo seguido de morte (latrocínio),2019,abril,2
Acre,Tentativa de homicídio,2019,abril,14
Acre,Estupro,2019,maio,27
Acre,Furto de veículo,2019,maio,48
Acre,Homicídio doloso,2019,maio,20
Acre,Lesão corporal seguida de morte,2019,maio,0
Acre,Roubo a instituição financeira,2019,maio,0
Acre,Roubo de carga,2019,maio,0
Acre,Roubo de veículo,2019,maio,104
Acre,Roubo seguido de morte (latrocínio),2019,maio,1
Acre,Tentativa de homicídio,2019,maio,4
Acre,Estupro,2019,junho,33
Acre,Furto de veículo,2019,junho,45
Acre,Homicídio doloso,2019,junho,20
Acre,Roubo a instituição financeira,2019,junho,0
Acre,Roubo de veículo,2019,junho,90
Acre,Roubo seguido de morte (latrocínio),2019,junho,3
Acre,Tentativa de homicídio,2019,junho,16
Acre,Estupro,2019,julho,25
Acre,Furto de veículo,2019,julho,60
Acre,Homicídio doloso,2019,julho,18
Acre,Roubo a instituição financeira,2019,julho,3
Acre,Roubo de carga,2019,julho,0
Acre,Roubo de veículo,2019,julho,91
Acre,Roubo seguido de morte (latrocínio),2019,julho,1
Acre,Tentativa de homicídio,2019,julho,5
Acre,Estupro,2019,agosto,30
Acre,Furto de veículo,2019,agosto,31
Acre,Homicídio doloso,2019,agosto,19
Acre,Lesão corporal seguida de morte,2019,agosto,1
Acre,Roubo a instituição financeira,2019,agosto,0
Acre,Roubo de carga,2019,agosto,1
Acre,Roubo de veículo,2019,agosto,116
Acre,Roubo seguido de morte (latrocínio),2019,agosto,1
Acre,Tentativa de homicídio,2019,agosto,13
Acre,Estupro,2019,setembro,22
Acre,Furto de veículo,2019,setembro,55
Acre,Homicídio doloso,2019,setembro,34
Acre,Lesão corporal seguida de morte,2019,setembro,0
Acre,Roubo a instituição financeira,2019,setembro,0
Acre,Roubo de carga,2019,setembro,0
Acre,Roubo de veículo,2019,setembro,123
Acre,Roubo seguido de morte (latrocínio),2019,setembro,1
Acre,Tentativa de homicídio,2019,setembro,13
Acre,Estupro,2019,outubro,33
Acre,Furto de veículo,2019,outubro,51
Acre,Homicídio doloso,2019,outubro,16
Acre,Lesão corporal seguida de morte,2019,outubro,0
Acre,Roubo a instituição financeira,2019,outubro,0
Acre,Roubo de carga,2019,outubro,0
Acre,Roubo de veículo,2019,outubro,128
Acre,Roubo seguido de morte (latrocínio),2019,outubro,0
Acre,Tentativa de homicídio,2019,outubro,11
Acre,Estupro,2019,novembro,29
Acre,Furto de veículo,2019,novembro,38
Acre,Homicídio doloso,2019,novembro,27
Acre,Lesão corporal seguida de morte,2019,novembro,0
Acre,Roubo a instituição financeira,2019,novembro,0
Acre,Roubo de carga,2019,novembro,0
Acre,Roubo de veículo,2019,novembro,124
Acre,Roubo seguido de morte (latrocínio),2019,novembro,3
Acre,Tentativa de homicídio,2019,novembro,12
Acre,Estupro,2019,dezembro,18
Acre,Furto de veículo,2019,dezembro,33
Acre,Homicídio doloso,2019,dezembro,34
Acre,Lesão corporal seguida de morte,2019,dezembro,0
Acre,Roubo a instituição financeira,2019,dezembro,0
Acre,Roubo de carga,2019,dezembro,1
Acre,Roubo de veículo,2019,dezembro,91
Acre,Roubo seguido de morte (latrocínio),2019,dezembro,0
Acre,Tentativa de homicídio,2019,dezembro,17
Acre,Estupro,2020,janeiro,18
Acre,Furto de veículo,2020,janeiro,23
Acre,Homicídio doloso,2020,janeiro,46
Acre,Lesão corporal seguida de morte,2020,janeiro,0
Acre,Roubo a instituição financeira,2020,janeiro,0
Acre,Roubo de carga,2020,janeiro,0
Acre,Roubo de veículo,2020,janeiro,102
Acre,Roubo seguido de morte (latrocínio),2020,janeiro,1
Acre,Tentativa de homicídio,2020,janeiro,16
Acre,Estupro,2020,fevereiro,20
Acre,Furto de veículo,2020,fevereiro,40
Acre,Homicídio doloso,2020,fevereiro,20
Acre,Lesão corporal seguida de morte,2020,fevereiro,0
Acre,Roubo a instituição financeira,2020,fevereiro,0
Acre,Roubo de carga,2020,fevereiro,64
Acre,Roubo de veículo,2020,fevereiro,0
Acre,Roubo seguido de morte (latrocínio),2020,fevereiro,0
Acre,Tentativa de homicídio,2020,fevereiro,7
Acre,Estupro,2020,março,32
Acre,Furto de veículo,2020,março,18
